"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Category"
"GO:0030182","neuron differentiation",586,-0.424577552216348,-1.95359853228882,9.84698110178882e-14,1.82223975286274e-10,1.64388950066942e-10,610,"tags=18%, list=9%, signal=18%","9637/26115/57721/5728/8678/9175/2534/58190/2332/81565/4205/6498/23242/23043/55740/5754/1716/54149/4684/5090/23380/10160/2115/6457/3786/7422/26037/51330/653/6507/3091/2737/53335/27185/10371/107/8829/5396/7465/4774/7412/57520/9037/2131/6925/7357/6091/2045/80243/11141/8543/6616/182/7074/5587/8522/4628/6422/7042/10265/79191/6383/3624/51761/1002/57451/6586/80031/144165/1600/2736/8828/26011/27242/5789/54549/5578/54437/2561/348980/339479/55714/84059/23768/9315/6095/6695/9423/9369/91752/3912/1009/57118/3672/2043/1272/4147/861/2042/6387/55182/161357/57554/9353/53942/285220","Development"
"GO:0048666","neuron development",486,-0.442035665788931,-2.0044424000497,4.78839894905463e-13,4.62160305232923e-10,4.16926736564178e-10,610,"tags=19%, list=9%, signal=19%","9637/26115/5728/8678/9175/2534/2332/81565/4205/6498/23242/23043/55740/5754/1716/54149/4684/5090/23380/10160/2115/3786/7422/26037/51330/653/6507/2737/53335/27185/10371/107/8829/5396/7465/57520/9037/2131/7357/6091/2045/80243/11141/8543/6616/7074/5587/8522/4628/6422/7042/10265/6383/51761/1002/57451/6586/80031/144165/1600/2736/8828/26011/27242/5789/5578/54437/2561/348980/55714/84059/23768/9315/6695/9423/9369/91752/3912/1009/57118/3672/2043/1272/4147/861/2042/6387/55182/57554/9353/53942/285220","Development"
"GO:0031175","neuron projection development",430,-0.435028037031638,-1.95339373110431,2.90106970746981e-11,1.86667718621752e-08,1.68397765592663e-08,610,"tags=19%, list=9%, signal=18%","9637/26115/5728/9175/2534/2332/81565/4205/6498/23242/23043/55740/5754/1716/54149/4684/23380/10160/2115/7422/26037/51330/653/2737/53335/27185/10371/107/8829/5396/7465/57520/9037/2131/6091/2045/80243/11141/8543/6616/7074/5587/8522/4628/6422/7042/6383/51761/1002/6586/80031/144165/1600/2736/8828/27242/5789/5578/54437/55714/84059/23768/9315/6695/9423/9369/91752/3912/1009/57118/3672/2043/1272/4147/2042/6387/57554/9353/53942/285220","Development"
"GO:0061564","axon development",219,-0.5121771250082,-2.14685259204145,1.43705272705893e-10,8.32197234239825e-08,7.50746598357206e-08,667,"tags=25%, list=10%, signal=23%","8506/3730/9637/5728/9175/2534/81565/6498/23242/55740/5754/4684/2115/7422/26037/51330/2737/53335/27185/10371/107/8829/9037/2131/6091/2045/8543/7074/4628/7042/51761/1002/6586/80031/144165/1600/2736/8828/27242/5578/54437/23768/9315/9423/9369/1009/2043/1272/4147/2042/6387/9353/53942/285220","Development"
"GO:0048667","cell morphogenesis involved in neuron differentiation",261,-0.487320841264976,-2.07998000022229,2.26483350195432e-10,1.09297090081812e-07,9.85997251771868e-08,667,"tags=24%, list=10%, signal=23%","8506/3730/5530/9637/26115/5728/9175/2534/81565/4205/6498/23242/23043/55740/5754/4684/10160/2115/7422/26037/51330/6507/2737/53335/27185/10371/107/8829/57520/9037/2131/6091/2045/80243/11141/8543/7074/4628/7042/6383/51761/1002/6586/80031/144165/1600/2736/8828/5789/5578/54437/23768/9423/9369/1009/2043/1272/4147/2042/6387/9353/53942/285220","Development"
"GO:0016477","cell migration",556,-0.391668147380064,-1.79388686089357,8.25241225087566e-10,3.41355138177292e-07,3.07945278203729e-07,955,"tags=25%, list=14%, signal=23%","5290/85440/2013/64750/1008/57142/57178/949/7049/23607/3685/23586/960/4163/5931/10013/64426/3717/9475/22846/83666/7145/659/694/8473/116150/2260/5911/9943/80310/3910/7057/11037/57531/7060/93649/5530/2195/7168/493/80005/102/8613/5728/84978/306/2530/55612/2534/51474/54328/81565/857/5754/1602/23236/25805/3690/10769/55140/2887/83700/3315/23380/30844/140885/7422/5362/51330/4301/653/30011/3091/10253/2737/4627/23286/114793/27185/1992/10371/5787/8829/961/8754/171024/7412/22801/1010/9037/2131/6091/10396/8543/147495/89927/182/7074/5587/90627/5295/4628/6422/7042/56999/89796/6383/23284/1002/80031/144165/1600/3554/8828/79729/5578/54437/59/23768/90102/6695/9423/2113/3912/1009/57118/1462/3672/2043/83478/1006/10718/4147/2042/6387/10082/9353","Migration"
"GO:0048870","cell motility",610,-0.376612688041224,-1.73832668338971,4.74312599281046e-09,1.52596903468696e-06,1.37661604107125e-06,955,"tags=23%, list=14%, signal=22%","5290/85440/2013/64750/1008/667/57142/57178/949/7049/23607/3685/23586/960/4163/5931/10013/64426/3717/9475/22846/83666/7145/659/694/8473/116150/2260/5911/9943/80310/3910/7057/79659/11037/57531/7060/93649/5530/2195/7168/493/80005/102/8613/5728/84978/55779/306/2530/55612/2534/51474/54328/81565/857/55740/5754/1602/23236/25805/3690/10769/55140/2887/83700/3315/23380/30844/140885/117178/7422/5362/51330/4301/653/30011/3091/10253/2737/4627/23286/114793/27185/1992/10371/5787/8829/961/8754/171024/7412/22801/1010/9037/2131/6091/10396/8543/147495/89927/182/7074/5587/90627/5295/4628/6422/7042/56999/89796/6383/23284/1002/80031/144165/1600/3554/8828/79729/5578/54437/59/23768/90102/6695/9423/2113/8701/3912/1009/57118/1462/3672/2043/83478/1006/10718/4147/2042/6387/10082/9353","Migration"
"GO:0010975","regulation of neuron projection development",200,-0.480421010278234,-1.99263339763325,7.2429124469359e-08,1.61321946077715e-05,1.45532690178716e-05,833,"tags=28%, list=12%, signal=25%","23064/10013/23413/5376/659/950/23258/2260/5911/5530/26115/5728/9175/2534/81565/6498/23242/23043/5754/1716/7422/26037/51330/653/53335/27185/10371/8829/5396/57520/9037/6091/2045/11141/6616/7074/5587/6422/6383/51761/1002/80031/1600/5789/55714/6695/9423/91752/57118/2043/1272/2042/6387/57554/9353","Development"
"GO:0007417","central nervous system development",392,-0.40060712052553,-1.78406886514488,9.19182709669324e-08,1.93401098589616e-05,1.74472121404405e-05,680,"tags=17%, list=10%, signal=16%","79659/8506/8854/493/3572/7360/57721/8613/5728/3459/2534/81565/57560/54149/23236/5090/55140/6926/23380/6457/5362/653/54407/3091/1639/2737/27185/10371/23648/8829/1282/9037/2131/89797/6091/2045/4862/8543/653319/89927/4628/6422/83943/3624/57211/80031/1600/2736/8828/26011/27242/5578/664/339479/6095/6695/3912/57477/1009/1462/2043/1272/10718/6387/161357/9353/53942","Development"
"GO:0035295","tube development",419,-0.39177852556127,-1.75378547166129,1.06869886977512e-07,1.93401098589616e-05,1.74472121404405e-05,916,"tags=25%, list=14%, signal=23%","57142/2908/23322/57178/25902/7049/10052/3685/6431/4643/90268/9990/9475/80781/4124/22846/7052/659/694/384/116150/2260/3099/7057/1284/7060/93649/8854/493/3572/306/2534/9788/857/6772/55366/25976/23242/5754/3690/10769/6461/83700/5125/6926/3315/30844/7422/5362/51330/83605/653/3091/10253/2737/4627/23670/5787/23648/8829/5396/961/26249/4774/1282/9037/1896/2131/6091/2045/6303/8543/5140/182/5587/90627/6422/7042/79191/56999/57211/54583/5315/144165/7137/2736/8828/90139/5578/5230/9645/231/6095/9423/255743/2113/9369/64478/2043/4879/83478/861/55182/9353","Development"
