"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Category"
"GO:0016477","cell migration",550,-0.454874413761796,-1.93704269146951,1.47082537493849e-15,4.21906258801105e-12,3.69254580971399e-12,1464,"tags=36%, list=22%, signal=30%","10979/998/9748/2737/23294/8976/5108/5829/2530/8874/6093/1950/657/4041/3066/84159/27342/2768/134/23075/57178/3908/6648/23788/4363/7082/285/102/4000/51330/26053/5787/9124/57698/5604/8473/23309/1002/2909/221692/1499/23060/7046/65979/4017/54328/2309/4780/6774/6792/3320/7048/5796/55604/9181/57142/29119/3728/81/4756/25805/57531/54764/64750/655/84612/8817/7126/2201/25959/27145/80005/5793/93649/64083/5581/6667/6868/2316/9530/80312/30837/11057/56034/1460/23022/8613/79932/5339/2113/57057/7145/10395/91584/79595/81792/8239/119/3717/1525/1289/140885/65125/153769/7060/4131/857/306/10370/90627/10769/1398/2651/2146/79647/10253/56999/182/5911/2260/6422/9620/104/89795/653/5792/55742/5594/90/1009/30844/9564/22800/960/9037/114793/9693/57556/2534/81029/1948/57464/2131/54437/23286/5587/2887/80310/8503/357/7412/3554/8829/3315/54986/9464/8543/1006/7422/144165/57118/4163/9922/10396/5578/5362/79890/1600/30011/1012/83478/27185/949/4627/23768/5295/10082/79729/2013/4147/6387/7042/23284/9423/2043/9353/3910/147495/90102/3912/1010/284/6695/147372/89796/2042","Migration"
"GO:0048870","cell motility",608,-0.428334126356826,-1.82992125243793,1.02067299578889e-13,1.46390024421021e-10,1.28121320787184e-10,1464,"tags=34%, list=22%, signal=30%","10979/998/9748/2737/23294/8976/5108/667/5829/2530/8874/6093/1950/657/4041/3066/84159/27342/2768/134/23075/57178/3908/6648/23788/4363/7082/285/54970/102/285335/4000/51330/26053/5787/9124/57698/5604/8473/23309/144132/22876/1002/2909/221692/1499/23060/7046/65979/4017/54328/79925/2309/4780/6774/6792/3320/7048/5796/55604/9181/57142/29119/3728/81/4756/25805/57531/54764/64750/655/84612/8817/7126/2201/11034/25959/27145/80005/5793/93649/64083/5581/6667/6868/2316/9530/80312/30837/11057/56034/200373/1460/23022/8613/79932/5339/2113/57057/7145/10395/91584/79595/81792/8239/119/3717/1525/1289/140885/65125/153769/7060/4131/55435/857/306/10370/90627/10769/29085/1398/2651/55779/2146/79647/10253/56999/182/5911/2260/6422/9620/55740/104/89795/653/5792/55742/5594/90/1009/30844/9564/22800/960/9037/114793/9693/57556/2534/81029/1948/57464/2131/54437/23286/5587/2887/80310/8503/357/7412/3554/8829/3315/54986/9464/8543/1006/7422/144165/57118/4163/9922/10396/5578/5362/79890/1600/30011/1012/83478/27185/949/4627/23768/5295/10082/79729/2013/4147/6387/7042/23284/9423/2043/9353/3910/147495/90102/3912/1010/284/6695/8701/147372/89796/2042","Migration"
"GO:0030182","neuron differentiation",593,-0.426530509393997,-1.82026004298912,1.17406569522288e-12,1.12260248224895e-09,9.8250760810757e-10,1346,"tags=31%, list=20%, signal=27%","663/4781/2182/9912/57178/3908/6648/56288/10251/23390/2181/25925/3516/57721/51330/57688/26053/127933/5978/57698/5604/729920/22876/10210/1002/2909/3624/221692/57154/1499/2064/7046/5090/221935/7534/2309/4780/6774/6792/5796/6498/6659/9181/124936/57142/51567/11078/950/4756/9896/23316/6507/8904/1523/655/55754/3251/222484/84612/6812/8301/11171/55182/28996/5087/26230/23394/7204/23327/283310/3786/5793/4211/6868/22882/23258/2560/84298/4343/5818/2071/23022/1123/57520/4205/57057/1400/23011/91584/8239/8325/3717/65125/4684/10677/6092/4131/10611/9637/9175/65059/57551/1398/2146/182/5911/2260/6422/55714/9620/26999/6586/55740/5274/104/653/5792/10100/1009/9037/4134/9693/57556/2534/2736/91752/81029/10313/9855/1948/2131/79778/57699/9745/54437/5587/2824/7412/8829/54986/4774/9464/8543/1946/7422/7357/144165/57451/57118/5789/51761/26037/9922/9315/5578/6457/1600/53335/27185/11141/339479/6095/6616/23768/4147/1272/9378/6387/7042/7465/54549/2562/9423/23242/2043/9353/57554/53942/8499/3912/26011/6695/238/285220/161357/2042","Development"
"GO:0072359","circulatory system development",505,-0.429961126874122,-1.82623415057426,9.09261584031154e-12,6.52054213448341e-09,5.70681283661659e-09,1317,"tags=34%, list=20%, signal=30%","64344/57178/6648/5019/7082/285/102/88/4000/3516/92140/51330/7273/5787/1432/9124/84168/57545/84700/5978/161882/5604/9645/3099/341640/3624/1499/2064/7046/91807/171023/4017/7534/6196/4780/6774/157378/7048/6659/11214/57142/7403/3728/90139/6262/6926/55212/115701/655/9686/8817/10664/28996/4879/54880/10758/93649/4211/5915/7716/775/6667/9990/23118/25976/26146/9472/3949/8613/5339/27295/2113/4205/64091/57057/54583/9794/10395/91584/8814/10087/8325/4215/2308/1525/59343/1289/65125/6092/11155/5315/7060/10611/4892/205428/677/857/306/10370/90627/10769/56913/10253/56999/182/2260/6422/2257/6586/653/55742/5594/10848/90/1009/30844/221981/83605/9037/9693/57556/2534/2736/3490/57211/56950/1948/2131/57158/7134/4625/4016/7135/5587/10021/80310/8503/5125/7412/10267/8829/8470/3315/9464/8543/5230/7422/144165/302/113622/1301/5578/10052/1012/83478/4643/79602/5318/7052/6095/4627/23768/23670/2013/9378/6387/7042/10252/9353/5140/26011/284/8701/147372","Development"
"GO:0048666","neuron development",495,-0.424095480790049,-1.79959562499919,1.12694121853403e-10,6.46526177072973e-08,5.65843117095507e-08,1316,"tags=31%, list=20%, signal=27%","9912/57178/3908/6648/56288/10251/23390/51330/26053/127933/5978/57698/5604/729920/22876/10210/1002/2909/221692/57154/1499/2064/5090/221935/7534/4780/6792/5796/6498/57142/51567/11078/950/4756/9896/23316/6507/8904/1523/655/55754/3251/84612/6812/8301/55182/5087/26230/23394/7204/23327/283310/3786/5793/6868/23258/2560/84298/4343/5818/23022/1123/57520/4205/1400/23011/91584/8239/3717/65125/4684/10677/6092/4131/10611/9637/9175/65059/57551/1398/2146/5911/2260/6422/55714/9620/26999/6586/55740/5274/104/653/5792/10100/1009/9037/4134/9693/57556/2534/2736/91752/9855/1948/2131/79778/57699/54437/5587/2824/8829/54986/9464/8543/1946/7422/7357/144165/57451/57118/5789/51761/26037/9922/9315/5578/1600/53335/27185/11141/6616/23768/4147/1272/9378/6387/7042/7465/2562/9423/23242/2043/9353/57554/53942/8499/3912/26011/6695/238/285220/2042","Development"
"GO:0035295","tube development",411,-0.437453974456318,-1.84087188920783,1.54082794135202e-10,7.14576690026244e-08,6.25401284629815e-08,1282,"tags=34%, list=19%, signal=29%","7082/285/26249/3516/92140/51330/5787/1432/57545/84700/5604/9645/3099/83931/2909/1499/2064/7046/171023/65979/4017/7534/6310/4780/6774/6431/7048/9788/6659/57142/3728/6670/90139/6046/6262/6926/55212/655/8817/55182/28996/5087/4879/384/93649/4211/5915/7716/6667/9990/25976/26146/56034/3949/1460/2908/9955/2113/57057/54583/10395/91584/81792/8325/65125/6092/5315/7060/677/857/306/10370/90627/10769/55366/56913/10253/56999/10765/182/2260/6422/9620/255743/653/55742/5594/90/30844/221981/83605/9037/9693/57556/2534/55083/2736/3490/57211/1948/2131/5587/8503/5125/10267/8829/3315/4774/9464/8543/5230/7422/144165/25902/302/5578/5362/10052/1012/83478/4643/79602/7052/6095/4627/1896/23670/2013/9378/7042/9423/23242/10252/2043/64478/9353/231/5140/284/147372","Development"
"GO:0050793","regulation of developmental process",961,-0.365277205252339,-1.57592921483112,8.36868164474991e-10,3.42936618542359e-07,3.00139935680128e-07,1622,"tags=33%, list=24%, signal=29%","5894/202018/51265/57630/4904/1399/57534/51441/27031/55023/23476/5590/7532/2734/201501/6772/25937/26013/387/93973/1500/55787/4739/348093/23303/55603/6461/8850/7004/8292/23240/10979/2737/5108/55294/6601/865/6197/55689/8874/6093/1950/657/4217/4041/3066/83737/152503/2768/663/4781/55737/5518/9912/57178/9202/3908/6648/56288/23788/8289/7082/285/102/10251/3516/57721/92140/51330/5787/1432/8848/5978/161882/27097/57698/6272/5604/51010/8473/22876/3099/1002/2909/3624/57154/1499/2064/7046/26524/91807/29102/171023/221935/4017/7534/22839/2309/22883/6310/4780/6774/6431/6792/55727/7048/6498/6659/54517/9181/124936/57142/80179/3728/4756/25805/90139/23091/6046/6926/23522/9896/54764/23316/64750/8904/115701/1523/655/90864/64769/9686/9991/8817/2778/2201/3481/28996/57045/5087/57619/80349/26230/23394/23370/7204/4879/5562/23327/54880/93649/347731/4211/8451/5915/57459/80059/7716/6667/6868/284273/22882/51232/55012/80312/84298/9759/9472/4343/3949/1123/51111/57520/2113/57057/54583/9794/3992/6760/1760/23011/80821/91584/79595/81792/6009/2308/405/3717/7430/1289/65125/6092/51460/4212/5315/7060/4131/10611/81606/9175/677/857/306/10370/90627/10769/55366/4077/1398/55122/2651/79577/2146/79647/10253/56999/10765/182/5911/2260/6422/115825/55818/255743/653/23221/5792/55742/5594/63976/10848/90/83605/960/9037/114793/9693/57556/2534/2736/81029/54815/55795/57211/1948/57464/57699/57158/3707/1040/9745/23286/5587/406/2824/8829/222663/130733/3315/9464/8543/1052/1946/5230/7422/147381/144165/57118/5789/51761/26037/302/28959/9315/64084/23081/5578/6457/1600/30011/53335/27185/11141/5318/339479/7052/6095/4627/23768/5295/23670/664/2013/10766/9378/6387/7042/64332/9423/23242/10252/56172/54756/2043/9353/3910/5140/1290/147495/8499/3912/26011/147372/238/2042","Development"
"GO:0031175","neuron projection development",440,-0.423418387199944,-1.78830304746414,1.65151853377756e-09,6.31650788552125e-07,5.52824098675015e-07,1264,"tags=30%, list=19%, signal=26%","10251/23390/51330/26053/127933/5978/57698/5604/729920/22876/1002/2909/221692/57154/1499/2064/221935/4780/6792/5796/6498/57142/11078/950/4756/9896/23316/8904/1523/655/55754/3251/84612/6812/8301/26230/23394/7204/23327/283310/5793/6868/23258/84298/4343/5818/23022/1123/57520/4205/1400/23011/91584/8239/3717/4684/10677/6092/4131/10611/9637/9175/65059/1398/2146/5911/2260/6422/55714/9620/26999/6586/55740/5274/104/653/5792/10100/1009/9037/4134/9693/57556/2534/2736/91752/1948/2131/79778/57699/54437/5587/2824/8829/54986/8543/1946/7422/144165/57118/5789/51761/26037/9922/9315/5578/1600/53335/27185/11141/6616/23768/4147/1272/9378/6387/7042/7465/9423/23242/2043/9353/57554/53942/8499/3912/6695/238/285220/2042","Development"
"GO:0010975","regulation of neuron projection development",208,-0.490904937702438,-1.97402375725455,3.45082430502833e-09,1.18502554060585e-06,1.03714059772481e-06,1192,"tags=34%, list=18%, signal=29%","57698/5604/22876/1002/2909/57154/4780/6792/6498/57142/950/4756/9896/23316/1523/655/55754/26230/23394/23327/5793/6868/23258/1123/57520/1400/23011/10677/6092/4131/10611/9175/1398/2146/5911/2260/6422/55714/5274/653/5792/9037/9693/2534/91752/1948/5587/8829/54986/1946/7422/57118/5789/51761/26037/1600/53335/27185/11141/6616/1272/6387/9423/23242/2043/9353/57554/8499/6695/238/2042","Development"
"GO:0001568","blood vessel development",282,-0.458386645130554,-1.88615522826195,3.51149279942468e-09,1.18502554060585e-06,1.03714059772481e-06,1613,"tags=43%, list=24%, signal=34%","1399/5795/57534/1000/6772/11064/387/5547/1500/6461/2737/6303/6093/1950/657/4041/80781/64344/57178/7082/285/3516/92140/51330/5787/1432/84168/84700/5604/3099/1499/2064/7046/4017/7534/4780/6774/7048/6659/57142/3728/90139/6926/655/8817/28996/4879/93649/4211/7716/6667/9990/25976/3949/8613/2113/57057/54583/8325/4215/2308/1289/65125/6092/5315/7060/677/857/306/10370/90627/10769/56913/10253/56999/182/2260/6422/55742/5594/90/30844/221981/83605/9037/9693/57556/2534/3490/57211/1948/4016/5587/80310/8503/10267/8829/3315/9464/5230/7422/144165/302/5578/10052/1012/83478/4643/79602/7052/6095/4627/23670/2013/9378/7042/9353/5140/284/147372","Development"
