"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Category"
"GO:0016071","mRNA metabolic process",457,0.341792603879826,1.66743781629302,5.98384374367262e-07,0.000391010945072652,0.000355041395457909,2315,"tags=42%, list=33%, signal=30%","677/104/8761/10150/8227/6432/80145/9130/3181/3182/7832/1655/9343/647979/64332/1054/9991/26135/10772/5914/79670/87178/3178/55783/11273/94104/23076/79048/6421/55571/9904/55119/10642/4841/24148/55629/4691/25766/142940/3189/55677/468/23586/26986/4076/220988/51329/221092/51692/6426/90806/7919/51729/8233/22890/7187/22916/11338/8189/3185/8563/83759/10236/23016/23435/55544/51585/55696/5935/22944/9295/23020/55082/3190/22803/5601/6427/8683/84950/25819/6294/8106/9406/3550/984/84060/55132/10992/55147/55131/11052/328/6050/10147/8546/23318/8087/2935/10921/2521/9588/167227/56339/1479/23248/6884/23524/29110/6430/10594/55599/5411/10768/2081/9667/79665/6741/54883/55692/51691/4869/23210/79872/3187/22868/10657/9652/58517/51574/10930/6832/65110/51340/9589/54039/2107/79869/23144/219988/4686/79828/728642/9169/8449/988/81576/3661/91746/22894/2332/51755/192670/285367/58155/79882/64783/64895/29883/10907/53981/10656/7375/11168/154007/11325/51726/54542/4848/55660/3646/53938/85437/246175/57035/5356/3192/54915/123169/3191/10492/10914/5394/23034/25862/1665/10758/10915/55015/22889/6880/1386","Metabolism"
"GO:0016072","rRNA metabolic process",118,0.500860865586338,2.07070873162,1.52423307061681e-06,0.000814910426208861,0.000739945872463071,1902,"tags=48%, list=27%, signal=36%","6194/9188/55661/6201/55720/6135/23076/55127/4141/51367/6125/79863/51575/10199/51077/27340/25926/4691/54680/88745/57109/10171/51729/22984/23160/55035/134430/2074/23016/11103/2971/2975/153443/10528/22803/130916/55759/57696/6154/6949/10412/29081/9555/8602/84154/23560/5591/51406/6229/4931/6598/11056/84128/11137/80135/27292/22894","Metabolism"
"GO:0006259","DNA metabolic process",472,0.326591160739755,1.59870836354266,5.52795515829289e-06,0.00270915869049337,0.00245994004544034,2626,"tags=47%, list=37%, signal=31%","2736/27063/7518/8870/2070/3326/3329/26354/3181/7508/3182/27154/7832/11073/80820/64110/64332/8467/1054/5763/5514/25996/151636/51147/3178/466/8930/253461/6421/5886/246243/10902/143/51377/11177/9656/10213/10694/7011/84939/8607/4841/5965/10576/56943/10728/93973/23405/57103/3320/23595/6604/80198/4673/728340/57109/22890/2072/4216/84542/6602/79892/22948/2074/84897/50485/55728/908/29086/25792/6605/22944/22909/4436/64318/3150/83932/9941/10038/55671/23137/125150/152485/5887/387893/6996/1026/7520/7084/10474/328/5928/55274/3980/55183/23376/54552/5890/2521/9555/167227/4862/51542/11315/6418/6742/5977/83940/5932/4361/57820/3276/8550/23560/5591/79991/54386/22897/7323/4869/23411/55193/4931/3364/56647/6598/1763/6832/7555/80854/57634/10575/54617/10445/23514/128387/81875/9643/10933/988/55719/1643/7158/4968/56907/27000/26122/2332/79960/55120/54726/50484/165918/23503/57599/22976/7468/5813/84153/1642/4683/9126/545/1454/7415/25898/80124/10097/3192/10973/283899/10492/6601/7320/5394/2966/54969/8924/54840/7486/84289/83666/5536/2073/51567/9767/6880/29117/5428/5810/5429/10075/56946/81602/5931/1108/7270/8243/25913/3146/1022/4832/2067/23244/9665/29922/54465/64769/51426/5130/54891/79725/7913/79677/5983/6599/54780/1660/23049/3981","Metabolism"
"GO:0048870","cell motility",629,-0.313924046061268,-1.53236998039906,1.26000663097179e-05,0.00397234421629151,0.003606923671994,1164,"tags=25%, list=17%, signal=23%","7422/7048/7046/114793/119/145508/285335/387119/23236/3480/56999/23332/25932/673/5339/5295/93649/196527/7976/79595/394/8895/5829/4017/9860/55841/23788/23143/2241/8660/57509/5604/1021/4286/57580/9037/55342/1008/9215/2909/9693/2309/84675/255394/10979/54970/54986/10755/79582/1901/55779/306/79834/6386/54437/57639/1909/23022/694/7074/2043/27145/2246/6654/57464/79925/815/7049/4041/9464/4756/55616/5787/222256/57556/51176/8729/5586/84144/5523/5797/6239/667/84034/3717/200373/3643/7424/29119/153090/4139/10370/83478/2821/2549/56034/27347/5530/2201/2066/65125/10396/8817/357/30844/85458/79729/1500/84159/949/5581/4363/2260/4920/23060/79890/27086/171024/10395/6383/2013/81029/5578/57630/5793/89796/2252/90627/23189/57057/135138/4163/90102/23224/653/5796/1010/2258/9922/30011/80312/153769/147495/3554/55604/8829/23284/81792/284/8701/3908/3912/221692/3910/80310/1600/89795/2042/147372","Migration"
"GO:0030182","neuron differentiation",621,-0.313765463638305,-1.5300688121748,1.2890235703501e-05,0.00397234421629151,0.003606923671994,916,"tags=21%, list=13%, signal=20%","57580/10313/4134/9037/53335/2909/22849/219699/9693/51761/2309/10611/7436/54986/1901/463/146760/6453/3251/9637/375567/54437/29904/23303/1909/23022/4205/7074/2043/2115/222484/214/6654/3784/815/860/9464/4756/22882/9315/3624/4548/57556/23258/57554/54897/23136/80243/5523/5797/8850/57498/3516/3717/10677/3983/4649/55605/153090/4139/27443/1756/5071/25925/55607/5530/2066/65125/1123/5274/27242/85458/2181/4211/238/2260/3730/57699/5789/4774/23242/6383/91752/4781/81029/5087/8499/339479/5578/10100/5793/283310/23189/6457/57057/729920/6095/26999/9760/653/5796/23287/23327/2258/146167/9922/2560/9378/22871/6507/9175/288/1272/55182/84570/2562/4660/221935/8829/9745/3908/3912/221692/1946/1600/161357/11141/26011/2042","Development"
"GO:0016477","cell migration",568,-0.315540727562029,-1.52848899004881,2.52869760855144e-05,0.0059485082543564,0.00540129809186587,1256,"tags=28%, list=18%, signal=25%","114882/79647/3690/8994/2651/25/5792/2011/8650/85440/59/7422/7048/7046/114793/119/387119/23236/3480/56999/23332/25932/673/5339/5295/93649/196527/7976/79595/394/8895/5829/4017/9860/55841/23788/23143/2241/8660/57509/5604/4286/57580/9037/1008/9215/2909/9693/2309/84675/255394/10979/54986/10755/1901/306/79834/6386/54437/1909/23022/694/7074/2043/27145/2246/6654/57464/815/7049/4041/9464/4756/55616/5787/222256/57556/51176/8729/5586/84144/5523/5797/6239/84034/3717/3643/7424/29119/153090/4139/10370/83478/2821/2549/56034/27347/5530/2201/2066/65125/10396/8817/357/30844/85458/79729/1500/84159/949/5581/4363/2260/4920/23060/79890/27086/171024/10395/6383/2013/81029/5578/57630/5793/89796/2252/90627/23189/57057/4163/90102/23224/653/5796/1010/2258/9922/30011/80312/153769/147495/3554/55604/8829/23284/81792/284/3908/3912/221692/3910/80310/1600/89795/2042/147372","Migration"
"GO:0141124","intracellular signaling cassette",824,-0.289686311263747,-1.44243733142745,4.17051232481366e-05,0.00875956535079612,0.00795376279089462,1120,"tags=22%, list=16%, signal=21%","1131/57706/9912/23236/3480/5465/10251/5569/9472/673/5621/408/65268/5295/26035/394/10564/3297/11163/8841/257194/55626/142/2241/8660/5604/10318/5900/5289/83988/57580/121512/9037/51735/2909/219699/9693/84675/10979/54986/8445/5602/6453/6386/4281/1909/23118/81606/10252/8491/4306/8654/51778/57153/4205/7074/6934/57493/2043/23179/2246/23085/6654/84033/9846/7430/860/160851/7049/9464/10231/8727/5337/28232/5139/54602/3624/7334/4215/22898/57556/79041/8729/5150/1124/84144/80243/143872/10060/401265/23433/92235/23092/3717/25780/3643/4649/4293/84952/287/153090/775/2137/83478/1756/84253/5071/11069/2549/768211/55607/154043/56034/27347/2690/5530/23362/2982/2066/65125/79658/1390/1123/8817/8395/949/57158/64762/5581/2260/23352/6546/389840/3707/10395/4093/10114/11214/5578/5596/57630/10846/25937/57514/10144/5140/2252/444/90627/23189/2259/57057/6095/23108/2308/152110/653/205428/57480/395/2258/9922/9378/6262/153769/5137/3554/23348/9175/8829/488/284/9771/55504/1896/9411/5144/1946/2977/2257/80310/1600","Signaling"
"GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors",7,0.901235319733957,1.92403836916091,0.000126731495441301,0.016826060336016,0.0152782115616945,609,"tags=71%, list=9%, signal=65%","7057/6498/6422/6789/8682","Signaling"
"GO:0045880","positive regulation of smoothened signaling pathway",20,0.708839324308864,2.02397000709638,0.000224034345360218,0.0243989997233971,0.0221545074856216,761,"tags=40%, list=11%, signal=36%","5396/92344/6422/80210/5447/2121/51377/22856","Signaling"
"GO:0141161","regulation of cAMP/PKA signal transduction",15,-0.75699475942037,-1.99875617889898,0.000268344760939087,0.0277623264497058,0.025208437891758,1082,"tags=60%, list=15%, signal=51%","5569/9472/8654/5139/5150/10846/5140/5137/5144","Signaling"
