"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Category"
"GO:0043069","negative regulation of programmed cell death",364,-0.438467205316516,-1.81367449693583,9.99183534654966e-11,1.45106428820267e-07,1.16141938751868e-07,908,"tags=27%, list=15%, signal=25%","653/54469/28996/2303/7423/103/3315/3326/79612/11235/2043/25816/50484/2771/3725/894/5885/3313/10114/3064/253260/5610/8841/4286/4869/5604/10413/3301/6134/11167/9821/5071/3958/56005/8531/665/624/2534/2821/4666/7009/8737/857/3572/5757/7110/1191/293/4831/1495/2869/5611/3688/7534/1459/6418/7494/81567/4976/5329/301/8829/5139/7178/3678/80315/6505/6648/378/1072/2632/2950/6189/4088/2495/64855/10399/5536/5894/308/2066/3309/5478/231/8870/9709/2274/7076/1654/4282/595/2070/3329/70/2023/664/5336/5743/7422","Cell death"
"GO:0008219","cell death",790,-0.374271291642167,-1.58335455111991,1.53864490303612e-10,1.78759764834736e-07,1.43077779720222e-07,1438,"tags=31%, list=23%, signal=27%","4040/64422/9978/5763/4853/51330/84260/23421/599/1293/307/6659/10253/204851/64083/10891/55829/79109/6201/6197/8140/3094/64332/328/3399/57142/10181/3428/23530/54532/6789/4170/1457/7132/10617/9748/8795/51643/23786/3146/6309/8565/2591/4841/4616/10892/7922/8539/3190/54583/10133/329/8445/3624/4254/23095/8874/5740/5465/10787/7082/51065/8793/7072/10081/9590/9958/8473/7046/10933/54739/653/54469/28996/5899/2303/4292/7423/4297/103/3315/3326/7073/79612/23705/11235/2043/8087/25816/6586/8648/10640/961/88/3916/50484/2771/23014/3725/26524/9839/894/5885/3313/10114/3064/23136/8453/253260/115701/7846/7417/5610/8841/4286/5594/5586/9423/3482/4869/5604/10413/8452/6421/26122/3301/57600/6134/11167/10955/9821/10945/55332/54206/5071/3708/3958/56005/8531/665/624/2534/2014/7518/2821/55737/4666/7009/8737/7415/857/3572/1540/5757/811/7110/6672/5325/5654/6194/10758/4089/1191/293/4831/1495/2869/5611/3688/7534/5527/1459/6418/138151/7494/5359/4313/81567/4976/2903/10550/5329/301/8829/5139/7178/23429/3678/5315/5518/5376/104/5163/80315/6505/23239/6648/378/5034/1072/2632/2950/6189/5978/11337/4088/2495/2074/64855/10399/5536/5894/308/286046/2066/3309/4015/5478/1508/2923/231/60/488/8870/9709/3956/2274/7076/30001/1654/4282/595/2070/3486/3329/70/2023/6262/664/2597/5336/5743/9353/7422","Cell death"
"GO:0012501","programmed cell death",788,-0.374065502389632,-1.58234338353178,1.01058703023007e-09,6.52277784289607e-07,5.22077533628796e-07,1438,"tags=31%, list=23%, signal=27%","4040/64422/9978/5763/4853/51330/84260/23421/599/1293/307/6659/10253/204851/64083/10891/55829/79109/6201/6197/8140/3094/64332/328/3399/57142/10181/3428/23530/54532/6789/4170/1457/7132/10617/9748/8795/51643/23786/3146/6309/8565/2591/4841/4616/10892/7922/8539/3190/54583/329/8445/3624/4254/23095/8874/5740/5465/10787/7082/51065/8793/7072/10081/9590/9958/8473/7046/10933/54739/653/54469/28996/5899/2303/4292/7423/4297/103/3315/3326/7073/79612/23705/11235/2043/8087/25816/6586/8648/10640/961/88/3916/50484/2771/23014/3725/26524/9839/894/5885/3313/10114/3064/23136/8453/253260/115701/7846/7417/5610/8841/4286/5594/5586/9423/3482/4869/5604/10413/8452/6421/26122/3301/57600/6134/11167/10955/9821/10945/55332/54206/5071/3708/3958/56005/8531/665/624/2534/2014/7518/2821/55737/4666/7009/8737/7415/857/3572/1540/5757/811/7110/6672/5325/5654/6194/10758/4089/1191/293/4831/1495/2869/5611/3688/7534/5527/1459/6418/138151/7494/5359/4313/81567/4976/2903/10550/5329/301/8829/5139/7178/23429/3678/5315/5518/5376/104/5163/80315/6505/23239/6648/378/5034/1072/2632/2950/6189/5978/11337/4088/2495/2074/64855/10399/5536/5894/308/286046/2066/3309/4015/5478/1508/2923/231/60/488/8870/9709/3956/2274/7076/30001/1654/4282/595/2070/3486/3329/70/2023/6262/664/2597/5336/5743/9353/7422","Cell death"
"GO:0043067","regulation of programmed cell death",603,-0.381358403571821,-1.60427959422479,6.01823979452173e-09,2.52789767826861e-06,2.02330757987378e-06,1438,"tags=31%, list=23%, signal=26%","4040/9978/5763/4853/51330/23421/599/307/6659/10253/64083/10891/55829/79109/6201/6197/8140/328/3399/57142/10181/23530/6789/4170/1457/7132/10617/9748/8795/51643/23786/3146/6309/4841/4616/10892/7922/8539/3190/54583/329/3624/4254/8874/5740/5465/7082/8793/7072/9590/9958/8473/7046/10933/653/54469/28996/2303/7423/103/3315/3326/79612/11235/2043/25816/8648/88/50484/2771/3725/26524/9839/894/5885/3313/10114/3064/253260/115701/5610/8841/4286/3482/4869/5604/10413/6421/26122/3301/6134/11167/10955/9821/5071/3708/3958/56005/8531/665/624/2534/2821/4666/7009/8737/7415/857/3572/1540/5757/811/7110/6672/5654/6194/4089/1191/293/4831/1495/2869/5611/3688/7534/1459/6418/138151/7494/4313/81567/4976/2903/10550/5329/301/8829/5139/7178/23429/3678/5518/80315/6505/23239/6648/378/5034/1072/2632/2950/6189/5978/4088/2495/64855/10399/5536/5894/308/2066/3309/4015/5478/1508/2923/231/60/488/8870/9709/3956/2274/7076/1654/4282/595/2070/3486/3329/70/2023/664/5336/5743/9353/7422","Cell death"
"GO:0002376","immune system process",827,-0.36043090463498,-1.52633932601248,1.28560238804524e-08,3.93056014323935e-06,3.1459865639866e-06,1826,"tags=36%, list=29%, signal=30%","5094/7189/4641/7155/55122/7187/6093/5925/55012/716/669/114803/23476/4478/5515/214/84888/139818/7532/8935/9564/51441/1997/9991/29967/57506/5290/3454/6917/10296/896/23143/60468/10087/23352/56259/4179/55914/4690/387/10890/9868/7042/5366/5966/8417/27342/79876/8503/3920/4891/29117/51571/22985/7334/6223/2197/1896/23325/170506/9978/5763/4853/3964/55284/55269/112936/5142/6659/64083/3093/55829/5987/2280/6197/6774/6601/8140/200558/121665/22863/9097/5289/64332/9943/5339/55013/57142/55337/3428/23522/100507436/81844/57590/9948/22890/10808/3146/81609/5573/10457/4841/1326/55366/140739/7837/149041/10892/7922/83700/9759/10133/3716/9867/9846/5144/329/2058/10175/3624/8780/4254/84166/2059/3727/85363/6814/5906/6738/10241/9958/8473/7046/51621/9469/653/28996/5682/60682/3098/80381/5899/55183/4292/7423/4297/2241/103/3949/975/8467/23705/6773/4267/5813/7130/79902/4779/23456/961/3516/55824/613/54765/1398/3916/23369/8325/1281/3725/6229/26524/5879/10623/8724/26060/5795/7531/6146/3313/647087/399665/6830/2778/253260/4792/23545/8888/5610/4286/5594/57674/868/145581/5604/9655/8452/165918/26472/23304/23053/79647/59338/6421/657/10955/9821/10945/375056/5764/1660/51522/6595/200081/196528/81545/71/3958/84959/3660/2534/1653/7518/2821/801/4012/8763/7009/8737/3105/57089/857/3572/1540/977/811/6672/5325/23236/10758/5789/1191/7049/7424/1604/56897/3688/7534/23521/7494/5359/4313/3656/4976/301/5052/3720/9444/3192/5518/55207/104/64771/3312/23239/6170/4323/4783/5034/4088/5087/2495/6675/7431/5479/6156/5894/928/203068/966/3398/10397/4015/5478/9258/2923/60/3921/3106/56829/3956/567/1654/4282/3329/54625/2597/5336/9353/23586/7422","Immune"
"GO:0010563","negative regulation of phosphorus metabolic process",75,-0.597287505524081,-2.15041142748507,2.02880573288842e-08,5.35696931924948e-06,4.28767221156372e-06,1158,"tags=41%, list=19%, signal=34%","11329/9759/3624/5465/57732/103/26146/56288/26524/5795/10114/64853/23175/4869/9655/3301/5154/54206/5071/5611/7453/3192/104/57493/5478/8870/116496/3486/5230/54625/9353","Metabolism"
"GO:0045936","negative regulation of phosphate metabolic process",75,-0.597287505524081,-2.15041142748507,2.02880573288842e-08,5.35696931924948e-06,4.28767221156372e-06,1158,"tags=41%, list=19%, signal=34%","11329/9759/3624/5465/57732/103/26146/56288/26524/5795/10114/64853/23175/4869/9655/3301/5154/54206/5071/5611/7453/3192/104/57493/5478/8870/116496/3486/5230/54625/9353","Metabolism"
"GO:0051248","negative regulation of protein metabolic process",279,-0.44091576241767,-1.80222763348176,3.01473938685792e-08,7.61418308619897e-06,6.09432671476037e-06,1810,"tags=43%, list=29%, signal=32%","10658/6093/23367/5925/7078/5569/25825/1622/7532/9445/4691/28998/6625/51377/9349/1611/51633/4076/4194/4193/302/55095/27161/9491/51582/7375/8667/170506/9978/1656/10253/5270/5204/59343/6201/4983/22863/9097/57142/55337/2734/48/1457/64175/10643/11329/6125/2058/6726/8239/7175/7072/1407/26135/7077/8473/28996/54464/57732/103/132864/3326/3156/3949/26146/5813/2043/8087/56288/54765/26524/8724/5795/10114/64853/6050/5610/4869/9655/3301/6135/54206/81545/2534/29761/55737/857/811/10644/4089/1191/23019/5611/7453/4904/1459/23521/6009/2903/9444/23429/5202/104/80315/1476/23560/4088/339745/10399/22849/57493/5478/7076/1654/4282/116496/3486/3488/54625/2597/9353","Metabolism"
"GO:2001243","negative regulation of intrinsic apoptotic signaling pathway",53,-0.647674153040107,-2.21021439367772,4.71646947176123e-08,1.0147396726467e-05,8.12188914493932e-06,559,"tags=38%, list=9%, signal=35%","5604/3301/5071/8531/624/2534/7009/1191/7494/4976/5329/7178/6648/10399/5478/9709/1654/4282/2023/5743","Signaling"
"GO:0045087","innate immune response",328,-0.410728446793194,-1.69253204321261,1.87004542517121e-07,3.62103129160652e-05,2.89824233087061e-05,1466,"tags=33%, list=23%, signal=26%","7334/6223/2197/23325/170506/9978/55284/55269/112936/3093/5987/6197/22863/9097/5289/64332/57142/55337/3428/100507436/81844/57590/22890/3146/4841/55366/140739/10892/9759/10133/3716/9867/329/2058/8780/84166/85363/6814/10241/9958/8473/3098/5899/103/8467/23705/6773/961/54765/1398/3916/23369/26524/10623/8724/26060/7531/647087/253260/4792/5610/8452/26472/23053/6421/10955/9821/1660/71/3958/2534/1653/801/3105/857/1540/6672/1191/1604/56897/7534/23521/5359/3656/301/5052/55207/104/64771/3312/6170/6675/7431/5894/203068/9258/3921/3106/56829/567/1654/4282/3329/54625/2597/5336/23586","Immune"
"GO:2001242","regulation of intrinsic apoptotic signaling pathway",89,-0.549014237244617,-2.02260977778118,4.64141104951109e-07,7.48943244072498e-05,5.99447737008494e-05,559,"tags=30%, list=9%, signal=28%","5604/6421/3301/10955/5071/8531/624/2534/7009/857/1540/1191/138151/7494/4313/4976/5329/7178/6648/5034/10399/5478/9709/1654/4282/2023/5743","Signaling"
"GO:2001234","negative regulation of apoptotic signaling pathway",107,-0.522617702261246,-1.96627265632526,5.62202013314717e-07,8.82657160904106e-05,7.06471207058636e-05,932,"tags=36%, list=15%, signal=31%","7046/653/3315/50484/2771/3064/5604/10413/3301/9821/5071/3958/8531/624/2534/7009/8737/1191/293/1495/1459/7494/4976/5329/8829/7178/6648/2950/10399/5894/5478/8870/9709/1654/4282/2070/2023/5743","Signaling"
"GO:0006955","immune response",532,-0.366630771012648,-1.53812095058995,9.34985021232592e-07,0.000139264820213849,0.000111466365419281,1618,"tags=34%, list=26%, signal=27%","60468/10087/23352/56259/4179/55914/4690/9868/7042/5966/8417/27342/8503/3920/51571/7334/6223/2197/1896/23325/170506/9978/4853/3964/55284/55269/112936/5142/3093/55829/5987/2280/6197/6774/8140/200558/121665/22863/9097/5289/64332/5339/57142/55337/3428/100507436/81844/57590/22890/3146/4841/55366/140739/7837/149041/10892/83700/9759/10133/3716/9867/9846/5144/329/2058/10175/8780/84166/85363/6814/5906/10241/9958/8473/5682/3098/80381/5899/55183/4292/4297/2241/103/975/8467/23705/6773/961/3516/55824/613/54765/1398/3916/23369/1281/26524/10623/8724/26060/5795/7531/647087/6830/2778/253260/4792/23545/5610/5594/868/9655/8452/165918/26472/23304/23053/59338/6421/657/10955/9821/1660/81545/71/3958/2534/1653/2821/801/8763/3105/57089/857/3572/1540/6672/10758/5789/1191/7049/1604/56897/7534/23521/7494/5359/3656/4976/301/5052/55207/104/64771/3312/6170/4783/4088/2495/6675/7431/6156/5894/203068/966/9258/2923/3921/3106/56829/3956/567/1654/4282/3329/54625/2597/5336/23586","Immune"
"GO:0051246","regulation of protein metabolic process",715,-0.349162281151819,-1.47347250062112,1.0190755539228e-06,0.000147995247318438,0.000118454124254658,1823,"tags=37%, list=29%, signal=29%","7189/10054/10048/10658/7187/6093/23367/5925/51201/7078/5569/55023/4478/10055/6667/25825/1622/7532/9445/5708/4691/51441/28998/7812/54778/6625/51377/9349/1611/9728/51633/4076/4194/4193/302/4690/55095/387/27161/51347/56647/9491/51582/23142/8550/7375/16/8667/444/8091/11186/7334/10075/9318/9375/170506/9978/55132/1656/10253/115825/5270/5204/59343/113251/3093/143689/2280/6201/6197/4983/22863/9097/5289/65110/8450/8301/57142/55337/2734/6789/48/1457/4848/84259/8795/64175/10643/9475/11329/10892/9759/6125/3184/329/2058/23327/3624/25976/6191/6726/57561/8239/6059/7175/64708/22794/5906/51065/7072/1407/26135/7077/8473/7046/22836/51312/28996/1938/10006/54464/7423/57732/2241/103/3315/54602/132864/3326/3156/51429/3949/975/9337/6773/11235/26146/5813/2043/8087/56288/4779/23456/5567/84324/54765/10972/23369/26524/5879/8724/5795/29063/6811/7555/130507/10114/64853/79699/5701/94056/6050/124540/6301/5610/8841/905/5594/6646/55037/868/4869/5604/5337/9655/8452/3301/6134/57333/6135/5154/1660/54206/5071/81545/10605/56005/8531/2534/10209/1653/8099/29761/55737/8737/7415/857/811/7110/10644/23236/7332/4089/1191/23019/5611/6187/7453/4904/1459/5935/27020/23521/7494/1974/6009/2903/5329/9444/10767/27230/23429/5315/3192/5202/104/80315/1476/4323/1072/23560/11337/4088/339745/2074/23287/10399/5894/1983/4946/22849/8975/57493/2066/3309/5478/8870/9709/7076/1654/4282/116496/3486/3488/1915/2023/54625/2597/6281/9353/23586/7422","Metabolism"
"GO:0002682","regulation of immune system process",518,-0.362428363385375,-1.51931165289857,2.50009419700651e-06,0.000308025216216604,0.00024654073624933,1586,"tags=33%, list=25%, signal=27%","4179/55914/4690/387/9868/7042/8417/27342/3920/29117/51571/22985/7334/6223/23325/170506/4853/3964/55269/5142/6659/3093/55829/2280/6197/6774/6601/8140/200558/121665/5289/64332/9943/55013/57142/3428/23522/100507436/81844/57590/22890/10808/3146/5573/10457/4841/1326/55366/149041/10892/83700/9867/9846/5144/329/3624/8780/4254/84166/3727/85363/5906/9958/8473/51621/653/5682/60682/3098/80381/5899/55183/4292/7423/2241/103/3949/975/23705/6773/4267/7130/23456/961/55824/613/1398/3916/23369/1281/26524/5879/10623/26060/5795/7531/3313/647087/399665/6830/2778/253260/4792/5610/4286/5594/868/145581/9655/23304/79647/59338/6421/375056/5764/1660/6595/196528/81545/3958/84959/2534/1653/2821/7009/8737/3105/57089/857/3572/1540/811/5325/23236/5789/1191/7424/1604/7534/23521/7494/5359/3656/4976/301/9444/3312/23239/4323/5034/4088/928/966/3398/4015/9258/60/3106/56829/3956/567/1654/4282/3329/54625/5336/9353/23586/7422","Immune"
"GO:0001817","regulation of cytokine production",256,-0.414262708521793,-1.68392405823002,4.14793479552422e-06,0.000446210244948152,0.000357142845844649,1586,"tags=38%, list=25%, signal=29%","4179/55914/490/9868/7042/5966/27342/79876/23326/51571/170506/9978/5142/307/55829/5987/6774/5495/8140/57142/3428/81844/22890/3146/10643/9475/10457/55366/10892/5144/3624/8780/4060/5422/5465/7072/9590/54739/3098/80381/3315/975/23705/51564/26146/8087/961/10972/5879/10623/26060/5795/5885/647087/4792/6301/5610/8841/9655/8452/657/1660/54206/1653/8737/3105/3572/1540/7110/5325/10644/23236/4089/1191/1604/27020/7494/4976/301/9444/64771/2950/4088/6675/6711/57493/3106/56829/567/1654/4282/3329/2597/5336/5743/23586","Immune"
"GO:0001816","cytokine production",258,-0.41240814183978,-1.67655767607012,4.07912352684191e-06,0.000446210244948152,0.000357142845844649,1586,"tags=38%, list=25%, signal=29%","4179/55914/490/9868/7042/5966/27342/79876/23326/51571/170506/9978/5142/307/55829/5987/6774/5495/8140/57142/3428/81844/22890/3146/10643/9475/10457/55366/10892/5144/3624/8780/4060/5422/5465/7072/9590/54739/3098/80381/3315/975/23705/51564/26146/8087/961/10972/1281/5879/10623/26060/5795/5885/647087/4792/6301/5610/8841/9655/8452/657/1660/54206/1653/8737/3105/3572/1540/7110/5325/10644/23236/4089/1191/1604/27020/7494/4976/301/9444/64771/2950/4088/6675/6711/57493/3106/56829/567/1654/4282/3329/2597/5336/5743/23586","Immune"
"GO:0005975","carbohydrate metabolic process",208,-0.431035551785147,-1.72686191372699,5.07265289838966e-06,0.000499441367571958,0.000399748578986389,1206,"tags=29%, list=19%, signal=24%","23786/9334/3146/2591/9759/5165/8445/23516/2132/5465/1407/6888/8473/9469/3098/10499/34/4779/25948/57223/1213/80267/5500/178/9695/10413/55102/9821/54206/5071/4124/2821/6520/3487/3572/57134/10402/5834/3643/2595/51809/27230/5315/9446/5163/2632/950/231/2887/8870/2201/5214/5901/30001/3939/3486/5230/2023/2597/7167","Metabolism"
"GO:2000145","regulation of cell motility",417,-0.36964305195304,-1.53782012010863,5.73809127377631e-06,0.000546435609989616,0.000437362366803623,1068,"tags=26%, list=17%, signal=23%","4254/114882/5928/8874/9747/8650/7082/9590/8473/7046/653/116150/2303/7423/2241/3315/975/25932/11235/4267/51564/7130/2043/91584/23224/961/613/10672/1398/1281/2771/3725/5879/9839/26060/5795/91663/253260/4286/5594/5586/9423/80312/5604/284119/79647/657/5154/375056/5764/196528/71/3958/2534/2821/857/977/811/6672/23236/7049/1495/7424/3643/3688/117581/7494/4313/9510/301/8829/3678/4301/2697/5216/104/1277/3312/6648/4323/5034/1072/23560/2950/4088/6282/10399/1012/928/6678/967/2066/3309/3908/2201/2549/7076/7114/4282/3486/3488/9168/5336/493/5743/9353/23586/7422","Migration"
