"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Category"
"GO:0061621","canonical glycolysis",15,0.835171940556107,2.17227056293921,3.286884685142e-06,0.0017455933246033,0.00154851507214178,539,"tags=60%, list=8%, signal=55%","2023/5230/3098/7167/5223/2026/2821/5315/3099","Metabolism"
"GO:0061718","glucose catabolic process to pyruvate",15,0.835171940556107,2.17227056293921,3.286884685142e-06,0.0017455933246033,0.00154851507214178,539,"tags=60%, list=8%, signal=55%","2023/5230/3098/7167/5223/2026/2821/5315/3099","Metabolism"
"GO:0046034","ATP metabolic process",123,0.480878048960528,1.96220605977444,3.99504767156351e-06,0.0017455933246033,0.00154851507214178,1428,"tags=38%, list=21%, signal=31%","5167/2023/5210/5230/3098/7345/93974/7167/5223/506/4536/2026/10632/2821/4508/7415/55967/2597/5315/3099/54541/523/516/3312/4907/26471/706/57103/4718/2475/203/5236/4538/3939/509/527/4720/55022/84833/514/4719/5465/9605/351/481/4708/26258","Metabolism"
"GO:0009141","nucleoside triphosphate metabolic process",146,0.458516145116565,1.92236684306363,4.01154079849741e-06,0.0017455933246033,0.00154851507214178,1851,"tags=43%, list=27%, signal=32%","5167/2023/5210/5230/3098/7345/93974/7167/5223/506/4536/2026/10632/50484/2821/4508/57089/7415/55967/2597/5315/3099/4831/54541/523/516/3312/4907/26471/706/57103/4718/2475/203/5236/4538/3939/509/527/4720/55022/84833/514/4719/5465/9605/351/481/4708/26258/51715/51079/29789/518/2987/11164/4830/1503/4967/498/79631/7371/55669","Metabolism"
"GO:0007186","G protein-coupled receptor signaling pathway",191,-0.436021212749245,-1.86438149119599,1.82287206447908e-06,0.0017455933246033,0.00154851507214178,776,"tags=34%, list=11%, signal=31%","23365/6091/808/5587/6586/3356/5567/2550/10161/55366/334/2863/1129/54838/6387/5311/8527/160851/8611/6505/8325/1240/55970/25960/26575/23284/27347/5159/64123/4233/3717/5737/9472/10846/857/23266/23236/5142/54331/29899/1889/7474/9590/112/3269/727/166647/57528/9353/6495/2869/5144/5468/2534/2596/1902/3708/1363/238/3776/57561/1131/5139/1909/9630","Signaling"
"GO:0040012","regulation of locomotion",470,-0.350693661222616,-1.64524843736378,1.98977058784149e-06,0.0017455933246033,0.00154851507214178,595,"tags=17%, list=9%, signal=17%","51466/7026/22800/1240/25960/117581/27347/5159/54434/4233/7443/8503/3717/146433/1545/9448/857/93649/23236/3676/79890/89927/182/7499/161742/79772/2146/90627/3371/90102/2066/7474/22854/23224/9590/4249/3554/10371/7048/2043/5168/23500/727/8613/9353/8840/5468/10395/2534/5764/653/1634/1902/2201/80031/3908/147372/284/2250/2192/80312/8829/5581/2890/9901/4254/9734/4223/9079/57561/23671/1956/23328/9423/5156/168667/6092/3486/4088/3910/2255/3082","Migration"
"GO:0030334","regulation of cell migration",440,-0.349703810477546,-1.63254545638113,3.86333327059862e-06,0.0017455933246033,0.00154851507214178,595,"tags=18%, list=9%, signal=18%","51466/7026/22800/1240/25960/117581/27347/5159/54434/4233/7443/8503/3717/146433/1545/9448/857/93649/23236/3676/79890/89927/182/7499/161742/79772/2146/90627/3371/90102/2066/7474/22854/23224/9590/4249/3554/10371/7048/2043/5168/23500/727/8613/9353/8840/5468/10395/2534/5764/653/1634/1902/2201/80031/3908/147372/284/2250/2192/80312/8829/5581/9901/4254/9734/4223/9079/23671/1956/23328/9423/5156/168667/3486/4088/3910/2255/3082","Migration"
"GO:0007417","central nervous system development",462,-0.3478137215777,-1.62993395657602,1.51700899418361e-06,0.0017455933246033,0.00154851507214178,1167,"tags=26%, list=17%, signal=23%","3976/27089/157680/2218/538/8450/5663/83696/1021/6091/23353/808/23133/2247/145173/57178/9444/8648/114327/4771/124540/5108/334/4854/1191/2048/8861/51199/4983/596/64770/3720/8891/25942/81853/221692/6387/5311/653319/30837/57045/9839/1281/54468/6788/5592/6505/26022/23529/4211/2736/4041/7026/25960/83943/54510/8091/146433/9915/2009/2897/2131/27185/5802/80055/3400/9760/23236/4212/89927/2146/2066/7474/6659/23224/22882/84623/2909/253782/5101/10371/7048/93986/2043/23500/6095/89797/5087/79633/176/8613/9353/27145/6495/56978/4862/4628/10395/2534/5764/653/26011/2596/1902/80031/9201/2334/2044/8829/4781/2890/2824/4919/339479/238/2903/1956/6092/2255","Development"
"GO:0040011","locomotion",520,-0.338223728393382,-1.60030945824892,2.57357918904305e-06,0.0017455933246033,0.00154851507214178,595,"tags=17%, list=9%, signal=17%","51466/7026/22800/1240/25960/117581/27347/5159/54434/4233/7443/8503/3717/146433/1545/9448/857/93649/23236/3676/5142/79890/89927/182/7499/161742/79772/2146/90627/3371/90102/2066/7474/22854/23224/9590/4249/3554/10371/7048/1291/6558/2043/5168/7412/23500/727/1946/8613/9353/8840/5468/10395/2534/5764/653/1634/1902/2201/80031/3908/147372/284/2250/2192/80312/8829/5581/2890/9901/4254/9734/4223/9079/57561/2903/23671/1956/23328/9423/5156/168667/6092/3486/4088/3910/2255/3082","Migration"
"GO:2000145","regulation of cell motility",455,-0.341659410872216,-1.5990126827232,3.68430243437613e-06,0.0017455933246033,0.00154851507214178,595,"tags=17%, list=9%, signal=17%","51466/7026/22800/1240/25960/117581/27347/5159/54434/4233/7443/8503/3717/146433/1545/9448/857/93649/23236/3676/79890/89927/182/7499/161742/79772/2146/90627/3371/90102/2066/7474/22854/23224/9590/4249/3554/10371/7048/2043/5168/23500/727/8613/9353/8840/5468/10395/2534/5764/653/1634/1902/2201/80031/3908/147372/284/2250/2192/80312/8829/5581/9901/4254/9734/4223/9079/23671/1956/23328/9423/5156/168667/3486/4088/3910/2255/3082","Migration"
"GO:0009144","purine nucleoside triphosphate metabolic process",139,0.458267452829168,1.90360400269876,4.53004065170736e-06,0.00183980051001342,0.00163208622497302,1690,"tags=40%, list=24%, signal=31%","5167/2023/5210/5230/3098/7345/93974/7167/5223/506/4536/2026/10632/2821/4508/57089/7415/55967/2597/5315/3099/4831/54541/523/516/3312/4907/26471/706/57103/4718/2475/203/5236/4538/3939/509/527/4720/55022/84833/514/4719/5465/9605/351/481/4708/26258/51715/51079/29789/518/2987/11164/4830","Metabolism"
"GO:0009205","purine ribonucleoside triphosphate metabolic process",136,0.463256489860881,1.91734033549284,5.1710087232849e-06,0.00196886157139073,0.00174657623587794,1456,"tags=37%, list=21%, signal=30%","5167/2023/5210/5230/3098/7345/93974/7167/5223/506/4536/2026/10632/2821/4508/57089/7415/55967/2597/5315/3099/4831/54541/523/516/3312/4907/26471/706/57103/4718/2475/203/5236/4538/3939/509/527/4720/55022/84833/514/4719/5465/9605/351/481/4708/26258/51715","Metabolism"
"GO:0007423","sensory organ development",243,-0.399432104779073,-1.75855461870873,5.71959964210735e-06,0.00197809807089612,0.00175476993053542,741,"tags=22%, list=11%, signal=21%","51804/7291/4867/57045/9839/6505/4211/4041/8736/54796/221935/55084/5159/81624/2138/775/8100/1545/2820/4212/182/7068/121227/161742/6909/1889/7474/6659/22882/2909/7048/93986/2043/5087/6495/8516/4628/653/2201/5205/8825/8829/4781/4774/2202/4919/3776/1956/9423/5156/168667/4088/2255/1909","Development"
"GO:0006520","amino acid metabolic process",97,0.496926845059338,1.95616983268735,6.22250408321041e-06,0.0019951313092062,0.00176988010876467,1059,"tags=30%, list=15%, signal=26%","5352/2730/29968/23657/2617/2744/1428/6897/2058/81539/8565/3376/4677/7453/1743/50507/6301/833/2108/256987/2356/56954/23743/468/51520/4942/4141/51582/5034","Metabolism"
"GO:0021675","nerve development",39,-0.66498925016747,-2.17669114525404,8.3825986732055e-06,0.00243175195796038,0.00215720609464847,863,"tags=46%, list=12%, signal=41%","2048/51804/4803/2131/3676/3232/1889/627/10371/2043/3200/7412/89797/6495/1902/5205/8829/1909","Development"
"GO:0030900","forebrain development",188,-0.428620124839872,-1.82978722439926,8.27573050086986e-06,0.00243175195796038,0.00215720609464847,1274,"tags=37%, list=18%, signal=31%","54820/64398/6867/10579/2618/2737/27089/157680/2218/538/5663/83696/1021/6091/23353/2247/57178/8648/114327/4771/5108/4854/2048/51199/4983/25942/81853/221692/6387/30837/57045/9839/1281/5592/2736/7026/8091/2131/27185/5802/80055/3400/9760/23236/89927/2146/2066/7474/23224/84623/2909/5101/10371/93986/79633/9353/27145/56978/4628/10395/2534/1902/2044/8829/4781/2890/238/1956/6092/2255","Development"
"GO:0141124","intracellular signaling cassette",898,-0.295409209470157,-1.4538456782793,1.06440803295111e-05,0.00281929292901658,0.00250099351998672,763,"tags=16%, list=11%, signal=17%","10160/817/5599/11124/6792/7291/5311/55784/1665/8527/55607/57045/23008/10206/80824/160851/355/1281/79658/8837/11030/6788/29969/5592/1292/57221/25959/55103/9265/55075/4803/3656/22800/253959/1240/23252/27347/9912/344558/5159/4233/8503/4038/1124/3717/9472/23108/146433/4306/5783/775/2897/7043/677/9448/10846/50650/28232/5583/857/60401/678/2257/23236/143872/5142/152110/161742/79772/4281/7088/6546/81848/2146/90627/8997/23179/2977/23362/2059/8844/2066/7474/9590/10602/3554/83478/5627/2909/85004/5602/10371/7048/154043/4217/10144/1291/2043/6095/4091/143686/1896/1946/8654/9353/4093/5144/5468/10395/54206/2534/57568/653/1634/7164/1902/1116/3487/79822/3708/284/2250/5137/2192/8829/5581/2890/121512/9901/4254/5136/4919/2903/1956/23328/9423/5156/1131/168667/5139/3486/4088/2255/9411/1909/27115/395/3082","Signaling"
"GO:0060322","head development",364,-0.345571596926645,-1.58582058611584,1.95171484724869e-05,0.00424637387479965,0.00376695640066721,1157,"tags=26%, list=17%, signal=22%","27089/157680/2218/538/5663/83696/1021/6091/23353/808/23133/2247/145173/57178/8648/114327/4771/5108/4854/2048/8861/51199/4983/596/64770/25942/81853/221692/6387/653319/30837/57045/9839/1281/5592/6505/4211/2736/7026/25976/83943/54510/8091/81624/9915/2009/7043/2131/27185/5802/80055/3400/9760/23236/4212/89927/2146/2066/7474/6659/23224/84623/2909/5101/10371/7048/93986/6095/89797/5087/79633/9353/27145/56978/84159/4628/10395/2534/653/1902/80031/2334/2044/8829/4781/2890/238/2903/1956/5156/6092/2255/1909","Development"
"GO:0141156","cAMP/PKA signal transduction",22,-0.740198360549383,-2.13172627407602,2.66553344303532e-05,0.00541280991165705,0.00480170129703274,489,"tags=50%, list=7%, signal=47%","9472/10846/5142/8654/5144/1902/5137/5136/5139/1909/27115","Signaling"
"GO:0030878","thyroid gland development",12,-0.850791737217993,-2.09556340109581,2.88812564844299e-05,0.0056031920724793,0.00497058922834239,383,"tags=50%, list=6%, signal=47%","3232/3200/6495/4088/2255/1909","Development"
"GO:0043583","ear development",86,-0.509912697122808,-1.94209081465408,3.03521566631348e-05,0.0056031920724793,0.00497058922834239,868,"tags=31%, list=13%, signal=28%","5396/2048/596/9497/51804/7291/55084/81624/2138/8100/182/121227/6909/1889/7474/2043/6495/8516/653/5205/8825/4919/3776/9423/168667/2255/1909","Development"
"GO:0016477","cell migration",663,-0.305896695973275,-1.47354611353625,2.98506572174162e-05,0.0056031920724793,0.00497058922834239,595,"tags=16%, list=9%, signal=16%","51466/6777/4041/7026/22800/89796/1240/25960/23284/117581/27347/5159/54434/4233/7443/8503/3717/146433/59277/2131/1545/9448/27185/857/93649/23236/3676/5142/387119/79890/89927/182/7499/161742/79772/2146/90627/2059/3371/90102/2066/7474/22854/23224/9590/4249/3554/83478/84623/2909/10371/7048/6558/2043/5168/1016/7412/23500/727/8613/9353/27145/6495/84159/8840/5468/4628/10395/54206/2534/5764/653/1634/6383/1902/2201/80031/3908/56776/147372/284/2250/2192/80312/8829/222256/5581/9901/4254/9734/4223/9079/23671/1956/23328/9423/5156/168667/2262/3486/4088/3910/2255/1909/3082","Migration"
"GO:0043436","oxoacid metabolic process",320,0.336903715730116,1.54928866799706,6.57930017998031e-05,0.010547657025379,0.00935682191801078,1587,"tags=32%, list=23%, signal=26%","5167/5352/2730/29968/2023/5210/23657/4259/5230/2744/1428/3098/81539/7345/6319/9446/7167/5223/160428/9060/10797/4779/8459/1743/4864/2026/5825/47/30001/2821/80339/134429/2950/3638/9123/3667/2597/5315/2170/50507/3099/231/8460/3030/2108/54541/91452/6307/256987/7360/2356/56954/3992/9415/115908/8560/201562/51144/23743/468/34/2260/9373/26471/57103/5565/2475/83667/4942/5236/3417/26031/51582/5034/3939/51390/2182/79602/387521/8034/3029/5467/586/23175/26227/6513/5465/48/7494/351/2171/26258/84693/22949/55907/114883/8050/10327/6720/157506/9926/6566/3295","Metabolism"
"GO:0048870","cell motility",722,-0.291731182256256,-1.41416090846681,7.87157885220882e-05,0.011988414591914,0.0106349173229579,994,"tags=21%, list=14%, signal=20%","8994/114327/10152/23613/4771/55342/23294/9510/93663/29119/23245/5108/23314/7525/5991/2621/2048/22873/8861/286205/4983/596/22998/57522/84675/4920/5793/2549/25942/221692/6387/6792/51804/7291/54970/28981/30837/9839/1281/5592/127602/25959/51466/6777/4041/7026/22800/89796/1240/25960/23284/117581/27347/5159/54434/4233/7443/8503/3717/146433/59277/2131/1545/9448/27185/857/93649/23236/3676/5142/387119/79890/89927/182/7499/161742/79772/2146/90627/2059/3371/90102/2066/7474/22854/23224/9590/4249/3554/64800/83478/84623/2909/10371/145508/7048/6558/2043/5168/1016/7412/23500/727/8613/9353/27145/6495/84159/8840/5468/4628/10395/54206/2534/5764/653/1634/6383/1902/2201/80031/3908/56776/147372/284/2250/2192/80312/8829/222256/5581/9901/4254/9734/4223/9079/23671/1956/23328/9423/5156/168667/2262/3486/4088/3910/2255/1909/3082","Migration"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process",57,0.539950795180171,1.92800156749521,9.20607896194468e-05,0.0133531983419445,0.0118456163886276,2149,"tags=53%, list=31%, signal=37%","2023/93974/506/4536/10632/4508/7415/55967/4831/516/4718/4538/509/527/4720/55022/84833/514/4719/5465/9605/4708/51079/518/4830/498/515/4706/4705/126328","Metabolism"
"GO:0007420","brain development",335,-0.347962825360519,-1.58480106263087,9.04544280947215e-05,0.0133531983419445,0.0118456163886276,1157,"tags=26%, list=17%, signal=23%","27089/157680/2218/538/5663/83696/1021/6091/23353/808/23133/2247/145173/57178/8648/114327/4771/5108/4854/2048/8861/51199/4983/596/64770/25942/81853/221692/6387/653319/30837/57045/9839/1281/5592/6505/4211/2736/7026/83943/54510/8091/9915/2009/2131/27185/5802/80055/3400/9760/23236/4212/89927/2146/2066/7474/6659/23224/84623/2909/5101/10371/7048/93986/6095/89797/5087/79633/9353/27145/56978/4628/10395/2534/653/1902/80031/2334/2044/8829/4781/2890/238/2903/1956/6092/2255","Development"
"GO:0006082","organic acid metabolic process",323,0.333934600774001,1.53750457150827,0.000102151304926,0.0144722267350975,0.0128383059850694,1587,"tags=32%, list=23%, signal=26%","5167/5352/2730/29968/2023/5210/23657/4259/5230/2744/1428/3098/81539/7345/6319/9446/7167/5223/160428/9060/10797/4779/8459/1743/4864/2026/5825/47/30001/2821/80339/134429/2950/3638/9123/3667/2597/5315/2170/50507/3099/231/8460/3030/2108/54541/91452/6307/256987/7360/2356/56954/3992/9415/115908/8560/201562/51144/23743/468/34/2260/9373/26471/57103/5565/2475/83667/4942/5236/3417/26031/51582/5034/3939/51390/2182/79602/387521/8034/3029/5467/586/23175/26227/6513/5465/48/7494/351/2171/26258/84693/22949/55907/114883/8050/10327/6720/157506/9926/6566/3295","Metabolism"
"GO:0019320","hexose catabolic process",21,0.713568627825462,2.0317313982112,0.000113662805394474,0.0146260152702469,0.012974731727105,1193,"tags=67%, list=17%, signal=55%","2023/5230/3098/7167/5223/2026/2821/5315/3099/57103/2720/5236/3939/2530","Metabolism"
"GO:0035270","endocrine system development",48,-0.592173110260954,-2.02188312536754,0.000117641948168434,0.0146260152702469,0.012974731727105,607,"tags=29%, list=9%, signal=27%","2736/8091/3232/7474/6659/3200/5087/6495/84159/653/5156/4088/2255/1909","Development"
"GO:0046365","monosaccharide catabolic process",23,0.68984136155148,2.01215455724321,0.000116645669729981,0.0146260152702469,0.012974731727105,1193,"tags=61%, list=17%, signal=51%","2023/5230/3098/7167/5223/2026/2821/5315/3099/57103/2720/5236/3939/2530","Metabolism"
"GO:0072524","pyridine-containing compound metabolic process",83,0.486936082526989,1.86641159540804,0.000148680079232531,0.0177599812291094,0.0157548715537629,1443,"tags=41%, list=21%, signal=33%","29968/2023/5210/5230/3098/6888/7345/7167/5223/160428/9555/83666/2026/2821/4837/7415/2597/5315/3099/54541/8566/26471/57103/2475/5236/3417/3939/7086/10135/25819/5465/48/351/6120","Metabolism"
"GO:0009967","positive regulation of signal transduction",746,-0.284925128862841,-1.38512490015121,0.000165222633712419,0.0186395608254825,0.0165351462276717,747,"tags=15%, list=11%, signal=15%","11124/6792/4144/5311/1665/8527/83871/57045/9839/23008/10206/355/1281/8607/54468/8837/6788/6502/4803/10098/51741/3656/8738/84937/25960/27347/344558/5159/54434/9508/4038/3717/9472/146433/4306/7043/1545/9448/50650/28232/27185/5583/857/60401/93649/55023/23236/182/7068/152110/161742/4281/4300/2146/2977/8844/2066/7474/6659/9590/4249/3554/627/5627/10371/7048/4217/220441/2043/23500/1896/222663/1946/8613/5740/283554/79705/8840/8516/5468/2534/653/1634/7164/1902/1116/23090/3908/3487/147372/284/340419/2250/8829/22905/5581/2890/4254/4919/57561/2903/1956/23328/5156/168667/2262/6092/3486/4088/2255/1909/395/3082/22871","Signaling"
"GO:0009201","ribonucleoside triphosphate biosynthetic process",61,0.533188691165024,1.9270238287912,0.00019068424282856,0.0204816499461257,0.0181692626781299,2149,"tags=52%, list=31%, signal=37%","2023/93974/506/4536/10632/4508/7415/55967/4831/516/4718/4538/509/527/4720/55022/84833/514/4719/5465/9605/4708/51079/518/4830/1503/498/7371/515/4706/4705/126328","Metabolism"
"GO:0030163","protein catabolic process",612,0.290949413726507,1.41557231727766,0.000191637236856396,0.0204816499461257,0.0181692626781299,1648,"tags=30%, list=24%, signal=25%","7078/144165/7076/2191/51339/4126/7316/4946/9695/4323/1509/80176/144699/8878/7345/93974/51377/7430/9604/5683/10625/1499/3326/9709/23555/5693/5684/1513/4779/664/8916/5691/5717/4012/5701/55353/7126/7415/2308/23287/5685/151636/2896/5601/9306/836/1508/25827/83892/10296/55666/54739/5713/8139/26046/10213/9025/7041/5690/5709/54602/5527/3312/3074/5718/8724/5707/5714/9373/26471/2055/51528/25978/57674/11059/27248/5523/65264/23276/137492/8667/127544/25793/57154/2720/868/2475/8507/64844/9861/54800/5682/5708/7323/9921/7314/55743/7322/4035/8881/5705/51028/3949/10939/23230/10475/51271/4478/8453/55829/51582/26273/116988/55236/64285/119504/11060/5371/55968/140739/23588/27183/11345/9907/5706/5476/2316/122809/284996/128866/1459/7804/51667/10134/4313/153222/3156/81502/7494/10425/7184/26268/23429/351/51201/51510/23609/9100/81542/5686/57333/51434/10399/55768/4734/11337/56957/10210/79109/10952/9525/3320/1457/7874/5688/5704/9474/51079/23450/9097/81847/23053/329/7706/55122/90678/10956/5715/64121/4130/153090/10724","Metabolism"
"GO:0021537","telencephalon development",141,-0.426911984961916,-1.75488661587627,0.000220751790849446,0.0227935577941496,0.0202201551154515,1274,"tags=37%, list=18%, signal=31%","54820/64398/6867/10579/2618/2737/27089/157680/2218/5663/83696/1021/6091/23353/57178/8648/114327/4771/2048/51199/81853/221692/6387/30837/9839/1281/2131/27185/5802/3400/23236/89927/2146/2066/7474/23224/84623/10371/93986/79633/9353/27145/56978/4628/2534/1902/2044/4781/2890/238/1956/6092","Development"
"GO:0048732","gland development",182,-0.393464389628963,-1.67194824739462,0.000229273148361925,0.0228972462265713,0.0203121370783455,741,"tags=24%, list=11%, signal=22%","51804/5311/1374/57045/8837/2736/6777/4041/1102/6599/8091/4233/3717/59277/7043/2131/3206/857/3400/3232/6909/2146/3371/2066/7474/2909/7048/3200/5087/1896/6495/84159/54206/5764/8829/4781/1956/9423/5156/4088/2255/1909/3082","Development"
